De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 96-SBS99, Signature 96-SBS99, 0, 0, 0, 1, 1
Signature 96-SBS100, Signature eSS18 (100.00%), 29.33,  23.48, 0.090, 0.97, 0.96
Signature 96-SBS101, Signature eSS34 (38.34%) & Signature eSS37 (33.02%) & Signature eSS39 (28.64%), 44.06,  37.55, 0.203, 0.93, 0.89
Signature 96-SBS102, Signature eSS6 (48.98%) & Signature eSS29 (51.02%), 35.08,  32.08, 0.107, 0.95, 0.92
Signature 96-SBS103, Signature 96-SBS103, 0, 0, 0, 1, 1
Signature 96-SBS104, Signature 96-SBS104, 0, 0, 0, 1, 1
Signature 96-SBS105, Signature 96-SBS105, 0, 0, 0, 1, 1
Signature 96-SBS106, Signature 96-SBS106, 0, 0, 0, 1, 1
Signature 96-SBS107, Signature 96-SBS107, 0, 0, 0, 1, 1
Signature 96-SBS108, Signature eSS36 (26.32%) & Signature eSS40 (73.68%), 55.24,  55.32, 0.273, 0.83, 0.76
Signature 96-SBS109, Signature eSS12 (40.32%) & Signature eSS47 (59.68%), 35.56,  36.62, 0.114, 0.93, 0.83
Signature 96-SBS110, Signature eSS13 (47.52%) & Signature eSS29 (52.48%), 51.51,  49.17, 0.215, 0.87, 0.81
Signature 96-SBS111, Signature eSS7 (100.00%), 54.39,  53.23, 0.232, 0.85, 0.76
Signature 96-SBS112, Signature eSS28 (43.94%) & Signature eSS31 (56.06%), 47.61,  42.84, 0.222, 0.90, 0.87
Signature 96-SBS113, Signature eSS15 (100.00%), 87.88,  59.60, 0.775, 0.80, 0.79
