cosmic_signature,observed_cosine,null_median,null_p95,margin_over_null_p95,p_value,fdr,beats_chance_fdr5
SBS10a,0.7152,0.5862,0.7962,-0.081,0.0729270729270729,0.108318152435799,False
SBS2,0.673,0.4864,0.7549,-0.0819,0.145854145854145,0.210446696160981,False
SBS99,0.6176,0.5978,0.7022,-0.0847,0.318681318681318,0.387792929961604,False
SBS54,0.6691,0.5784,0.7578,-0.0886,0.18081918081918,0.250174483051195,False
SBS6,0.7513,0.7475,0.8424,-0.091,0.477522477522477,0.548709717249043,False
SBS106,0.4915,0.4874,0.5905,-0.099,0.483516483516483,0.548709717249043,False
SBS60,0.3268,0.1649,0.4275,-0.1006,0.153846153846153,0.218851570964247,False
SBS46,0.7781,0.8162,0.8823,-0.1043,0.86013986013986,0.904938811188811,False
SBS59,0.6603,0.5971,0.7881,-0.1278,0.3006993006993,0.374946041612708,False
SBS39,0.6699,0.7306,0.8039,-0.134,0.928071928071928,0.956482293216987,False
SBS7c,0.6944,0.5207,0.8403,-0.1459,0.163836163836163,0.229825729825729,False
SBS17b,0.237,0.1937,0.4182,-0.1811,0.383616383616383,0.455826526414761,False
SBS97,0.5985,0.5396,0.8041,-0.2056,0.361638361638361,0.43482707768422,False
SBS33,0.5002,0.5198,0.7087,-0.2086,0.557442557442557,0.618699981337343,False
SBS15,0.6118,0.6187,0.8215,-0.2097,0.54045954045954,0.606515706515706,False
SBS7d,0.4864,0.5014,0.697,-0.2106,0.57042957042957,0.626232463188985,False
SBS27,0.6099,0.5237,0.8232,-0.2133,0.308691308691308,0.380217343631977,False
SBS103,0.4671,0.4524,0.7266,-0.2595,0.415584415584415,0.488070069465418,False
SBS49,0.4737,0.5987,0.7836,-0.3099,0.669330669330669,0.719174442578697,False
SBS86,0.4246,0.5425,0.7354,-0.3108,0.952047952047952,0.971281244008516,False
SBS52,0.4835,0.6125,0.7984,-0.3149,0.651348651348651,0.707378642862514,False
SBS10b,0.4363,0.4659,0.778,-0.3417,0.679320679320679,0.722225143277774,False
SBS17a,0.3327,0.457,0.6752,-0.3426,0.979020979020979,0.987012987012987,False
SBS13,0.2591,0.2534,0.6066,-0.3475,0.481518481518481,0.548709717249043,False
SBS91,0.404,0.58,0.783,-0.379,0.893106893106893,0.929936043338105,False
SBS48,0.1584,0.5759,0.7792,-0.6208,0.987012987012987,0.987012987012987,False
